Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,wallyRedCpu,chipseq,851300,PLOTPROFILE,43009231,797513,678.2,1618038784,2363753789,582188680,8,4923392,285466624,2384793600,16106127360,2263158784,14118962,14118962,143937930
train-1,wallyRedCpu,chipseq,893700,PLOTPROFILE,47090363,799534,672.4,1536192512,2340968009,576975792,8,4788224,280219648,2299912192,16106127360,2145972224,14197970,14197970,150242459
train-1,wallyRedCpu,chipseq,893700,MACS2_ANNOTATE,47090363,123965,99.9,1341210624,911648942,209210271,6,761856,209227776,1352933376,16106127360,1341210624,3300428422,3300428422,150242459
train-1,wallyRedCpu,chipseq,3574700,PLOTPROFILE,187899130,809654,659.1,1577619456,2277685334,618500894,8,15515648,321884160,2347343872,16106127360,2216534016,30246903,30246903,600924066
train-1,wallyRedCpu,chipseq,3574700,MACS2_ANNOTATE,187899130,124250,100.1,1352896512,915563090,212018502,6,1212416,212033536,1364901888,16106127360,1352896512,3300880977,3300880977,600924066
train-1,wallyRedCpu,chipseq,7149400,PLOTPROFILE,374895855,800870,662.8,1614180352,2261668177,635734996,8,23683072,339140608,2366013440,16106127360,2266206208,40313029,40313029,1201839227
train-1,wallyRedCpu,chipseq,7149400,MACS2_ANNOTATE,374895855,126011,100.0,1358581760,921777580,216478437,6,4096,216494080,1370370048,16106127360,1358581760,3301599566,3301599566,1201839227
test,wallyRedCpu,chipseq,191221075,FASTQC,8712302981,758716,100.0,1034903552,8727837459,1873849,6,8737550336,2691072,4476407808,16106127360,1035182080,8712302981,32978181418,32978181418
train-2,wallyRedCpu,chipseq,1872700,FASTQC,100713019,26764,57.8,561672192,116231173,1869512,6,112279552,2109440,4554706944,16106127360,561680384,100713019,323191186,323191186
train-2,wallyRedCpu,chipseq,11951400,FASTQC,619328932,58775,99.8,1058422784,661075347,1879644,6,676073472,2244608,4583817216,16106127360,1058443264,645546275,2061152877,2061152877
train-2,wallyRedCpu,chipseq,1494000,FASTQC,77656954,10046,136.9,489689088,96566585,1879947,6,90497024,2076672,4555042816,16106127360,490442752,81040576,257651332,257651332
train-2,wallyRedCpu,chipseq,186800,FASTQC,9697091,3354,212.0,280813568,25661179,1899283,6,10129408,2105344,4559503360,16106127360,280813568,10126273,32214839,32214839
train-2,wallyRedCpu,chipseq,14981000,FASTQC,803790497,67394,103.3,1067589632,819315933,1880851,6,803794944,2142208,4552609792,16106127360,1069662208,803790497,2585386823,2585386823
train-2,wallyRedCpu,chipseq,119847942,FASTQC,6392794687,509557,100.3,1090875392,6408333213,1895363,6,6416666624,3100672,4556804096,16106127360,1091063808,6392794687,20683131816,20683131816
train-2,wallyRedCpu,chipseq,23902700,FASTQC,1236479068,155216,67.7,1035218944,1304813675,1877529,6,1301995520,2437120,4476407808,16106127360,1035218944,1289277344,4122288528,4122288528
train-2,wallyRedCpu,chipseq,234100,FASTQC,12585529,6651,134.6,282300416,28114701,1896992,6,18272256,2093056,4556804096,16106127360,283922432,12585529,40398757,40398757
train-2,wallyRedCpu,chipseq,2987900,FASTQC,155106475,16425,117.9,857321472,177406423,1874352,6,167284736,2088960,4552609792,16106127360,858398720,161884701,515279642,515279642
train-2,wallyRedCpu,chipseq,234100,TRIMGALORE,12585529,8544,236.4,302067712,252945775,208786166,8,17235968,12902400,3278503936,16106127360,304504832,12585529,40398757,40398757
test,wallyRedCpu,chipseq,239695842,FASTQC,11412781063,1000517,100.0,1035620352,11428312542,1875802,6,11423784960,4489216,4476407808,16106127360,1035624448,11412781063,41366257414,41366257414
train-2,wallyRedCpu,chipseq,29962000,FASTQC,1604989437,257440,51.1,1035177984,1620522243,1879016,6,1624485888,2732032,4476407808,16106127360,1035177984,1604989437,5170796515,5170796515
train-2,wallyRedCpu,chipseq,3745300,FASTQC,201226407,27172,86.2,940888064,216744942,1873074,6,219877376,2129920,4552609792,16106127360,940888064,201226407,646348142,646348142
train-2,wallyRedCpu,chipseq,373500,FASTQC,19409231,6081,135.9,285581312,35777548,1893486,6,30216192,2105344,4559523840,16106127360,285581312,20247034,64410389,64410389
train-2,wallyRedCpu,chipseq,47805300,FASTQC,2468333736,209439,100.7,1042198528,2591046305,1885410,6,2580914176,2576384,4546666496,16106127360,1042198528,2575508140,8244555575,8244555575
train-2,wallyRedCpu,chipseq,468200,FASTQC,25209271,9263,100.8,313978880,40736315,1892058,6,27086848,2088960,4556804096,16106127360,314081280,25209271,80802540,80802540
train-2,wallyRedCpu,chipseq,1872700,TRIMGALORE,100713019,27720,415.9,471900160,1678901788,1505609983,8,115994624,87891968,3198107648,16106127360,472723456,100713019,323191186,323191186
train-2,wallyRedCpu,chipseq,119847942,TRIMGALORE,6392794687,1306049,512.7,4155731968,91794555936,85332630970,8,8940306432,5424615424,4906754048,16106127360,4189147136,6392794687,20683131816,20683131816
train-2,wallyRedCpu,chipseq,186800,TRIMGALORE,9697091,8052,215.2,250245120,207428765,168182702,8,16818176,10502144,3278503936,16106127360,250245120,10126273,32214839,32214839
train-2,wallyRedCpu,chipseq,5975700,FASTQC,309971023,29470,112.8,1035866112,338770560,1871340,6,323612672,2084864,4476407808,16106127360,1037864960,323248528,1030577327,1030577327
train-2,wallyRedCpu,chipseq,11951400,TRIMGALORE,619328932,138607,491.7,1925345280,9460954702,8744237049,8,708034560,531542016,3205840896,16106127360,2017574912,645546275,2061152877,2061152877
train-2,wallyRedCpu,chipseq,1494000,TRIMGALORE,77656954,24966,377.7,384765952,1400338156,1245986996,8,82976768,68698112,3198107648,16106127360,390549504,81040576,257651332,257651332
test,wallyRedCpu,chipseq,191221075,TRIMGALORE,8712302981,2083757,515.3,4085211136,145981302198,137207358877,8,12377538560,8374751232,4842827776,16106127360,4295290880,8712302981,32978181418,32978181418
train-2,wallyRedCpu,chipseq,14981000,TRIMGALORE,803790497,190383,446.4,1906413568,11697590623,10823286927,8,857333760,684711936,3198132224,16106127360,2018562048,803790497,2585386823,2585386823
train-2,wallyRedCpu,chipseq,59924000,FASTQC,3204537970,252431,101.2,1136496640,3220074947,1891031,6,3210276864,2228224,4556804096,16106127360,1140371456,3204537970,10341579155,10341579155
train-2,wallyRedCpu,chipseq,23902700,TRIMGALORE,1236479068,281942,477.6,2334228480,18672280401,17312548016,8,1615835136,1058656256,3200229376,16106127360,2338230272,1289277344,4122288528,4122288528
train-2,wallyRedCpu,chipseq,747000,FASTQC,38857457,8506,122.3,371458048,56044777,1882492,6,40587264,2080768,4556804096,16106127360,371916800,40519368,128829560,128829560
train-2,wallyRedCpu,chipseq,7490500,FASTQC,402364800,35403,108.8,1035874304,417884514,1875653,6,402370560,2105344,4476407808,16106127360,1035874304,402364800,1292690384,1292690384
train-2,wallyRedCpu,chipseq,936400,FASTQC,50401769,7356,136.7,373145600,65922815,1879464,6,50405376,2093056,4552609792,16106127360,373145600,50401769,161603717,161603717
train-2,wallyRedCpu,chipseq,95610575,FASTQC,4925423347,390466,100.1,1059385344,5156902911,1882463,6,5152395264,2330624,4552609792,16106127360,1059688448,5141366402,16489096542,16489096542
test,wallyRedCpu,chipseq,239695842,TRIMGALORE,11412781063,2554870,517.6,4258504704,181921454597,170445601667,8,20888080384,10797305856,5003812864,16106127360,4313169920,11412781063,41366257414,41366257414
train-2,wallyRedCpu,chipseq,2987900,TRIMGALORE,155106475,51249,347.9,599289856,2552466789,2317475527,8,211910656,135110656,3210366976,16106127360,614928384,161884701,515279642,515279642
