Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,n1,bacass,847800,NFCORE_BACASS:BACASS:SKEWER,170150021,331000,109.2,9908224,1204933286,1178785836,8,0,724021248,585056256,8589934592,9908224,170150021,454712168,454712168
train-1,n1,bacass,424000,NFCORE_BACASS:BACASS:SKEWER,85109040,166000,109.2,9375744,602673204,589544778,8,0,362082304,585027584,8589934592,9375744,85109040,227409168,227409168
train-1,n1,bacass,424000,NFCORE_BACASS:BACASS:FASTQC,85109040,8000,250.0,581697536,107005259,3580165,8,0,3952640,5252030464,8589934592,585027584,85109040,227409168,227409168
train-1,n1,bacass,1695400,NFCORE_BACASS:BACASS:SKEWER,340242074,662000,109.5,11259904,2409918837,2357857580,8,0,1448497152,585564160,8589934592,11259904,340242074,909318168,909318168
train-1,n1,bacass,106000,NFCORE_BACASS:BACASS:SKEWER,21260709,41000,109.2,6598656,150748179,147406617,8,0,90509312,565514240,8589934592,6598656,21260709,56851168,56851168
train-1,n1,bacass,53000,NFCORE_BACASS:BACASS:FASTQC,10628739,4000,252.4,386105344,32508100,3566309,8,0,3936256,5252034560,8589934592,388288512,10628739,28424968,28424968
train-1,n1,bacass,3390800,NFCORE_BACASS:BACASS:FASTQC,680404480,36000,212.9,1434587136,702170237,3613105,8,8192,3989504,5171949568,8589934592,1435045888,680404480,1818637168,1818637168
train-1,n1,bacass,212000,NFCORE_BACASS:BACASS:FASTQC,42560238,7000,256.3,434675712,64442345,3585755,8,0,3936256,5252034560,8589934592,434786304,42560238,113703568,113703568
train-1,n1,bacass,106000,NFCORE_BACASS:BACASS:FASTQC,21260709,5000,287.2,397824000,43018610,3571520,8,0,3932160,5252034560,8589934592,399585280,21260709,56851168,56851168
train-1,n1,bacass,847800,NFCORE_BACASS:BACASS:FASTQC,170150021,13000,235.2,714162176,192037562,3594959,8,0,3952640,5247840256,8589934592,714162176,170150021,454712168,454712168
train-1,n1,bacass,212000,NFCORE_BACASS:BACASS:SKEWER,42560238,82000,109.2,9392128,301393571,294780462,8,0,181030912,585027584,8589934592,9392128,42560238,113703568,113703568
train-1,n1,bacass,3390800,NFCORE_BACASS:BACASS:SKEWER,680404480,1322000,109.3,10805248,4819187894,4715067701,8,221184,2896375808,585564160,8589934592,10805248,680404480,1818637168,1818637168
train-1,n1,bacass,1695400,NFCORE_BACASS:BACASS:FASTQC,340242074,21000,217.7,1431064576,362141201,3607294,8,135168,3973120,5171949568,8589934592,1432842240,340242074,909318168,909318168
train-1,n1,bacass,53000,NFCORE_BACASS:BACASS:SKEWER,10628739,20000,108.8,4718592,75415334,73693041,8,225280,45223936,27303936,8589934592,4718592,10628739,28424968,28424968
train-1,n1,bacass,26600,NFCORE_BACASS:BACASS:SKEWER,5343351,10000,108.4,4988928,37927169,37015981,8,5345280,22695936,36847616,8589934592,4988928,5343351,14265368,14265368
train-1,n1,bacass,13400,NFCORE_BACASS:BACASS:SKEWER,2692721,5000,109.0,6557696,19183370,18683397,8,2695168,11456512,565514240,8589934592,6557696,2692721,7185768,7185768
train-1,n1,bacass,26600,NFCORE_BACASS:BACASS:FASTQC,5343351,4000,294.8,398848000,27067156,3579298,8,0,3948544,5252034560,8589934592,400379904,5343351,14265368,14265368
train-1,n1,bacass,6800,NFCORE_BACASS:BACASS:SKEWER,1370834,3000,108.8,6475776,9819755,9524155,8,1372160,5836800,36855808,8589934592,6475776,1370834,3645968,3645968
train-1,n1,bacass,13400,NFCORE_BACASS:BACASS:FASTQC,2692721,2000,332.2,329748480,24428298,3621519,8,0,3973120,5252034560,8589934592,330956800,2692721,7185768,7185768
train-1,n1,bacass,6800,NFCORE_BACASS:BACASS:FASTQC,1370834,4000,283.7,362356736,23278336,3631611,8,0,3993600,5252034560,8589934592,366706688,1370834,3645968,3645968
test,n1,bacass,6781558,NFCORE_BACASS:BACASS:SKEWER,1234607809,2645000,108.8,10989568,9511385424,9429122303,8,416088064,5791821824,585433088,8589934592,10989568,1234607809,3637252230,3637252230
test,n1,bacass,6781558,NFCORE_BACASS:BACASS:FASTQC,1234607809,65000,201.5,1452531712,1256338029,3608258,8,136818688,4001792,5247840256,8589934592,1452531712,1234607809,3637252230,3637252230
train-1,n1,bacass,847800,NFCORE_BACASS:BACASS:UNICYCLER,170150021,1355000,623.6,4328517632,7266599794,17724719085,8,222957568,17882640384,9303609344,16106127360,4344135680,144081488,435837532,454712168
train-1,n1,bacass,424000,NFCORE_BACASS:BACASS:UNICYCLER,85109040,881000,623.0,1683103744,4683108146,15818796236,8,106323968,15941603328,9307275264,16106127360,2193215488,72059696,217943058,227409168
train-1,n1,bacass,1695400,NFCORE_BACASS:BACASS:UNICYCLER,340242074,3156000,657.7,4519964672,15904115885,27659892126,8,349904896,27890327552,9320919040,16106127360,4853555200,288261297,871943656,909318168
train-1,n1,bacass,106000,NFCORE_BACASS:BACASS:UNICYCLER,21260709,312000,513.1,637800448,1535098615,12717960361,8,19116032,12808732672,8777871360,16106127360,639713280,17998669,54485284,56851168
train-1,n1,bacass,212000,NFCORE_BACASS:BACASS:UNICYCLER,42560238,564000,602.3,1097142272,2852603863,13894598310,8,36036608,13996789760,8794910720,16106127360,1117220864,36026750,108950330,113703568
train-1,n1,bacass,3390800,NFCORE_BACASS:BACASS:UNICYCLER,680404480,5333000,645.2,4814004224,27768870503,43947548325,8,1011994624,44305186816,8996433920,16106127360,4890914816,576366408,1743624292,1818637168
train-1,n1,bacass,53000,NFCORE_BACASS:BACASS:UNICYCLER,10628739,138000,436.6,289972224,831717834,10289668897,8,10489856,10370076672,9336098816,16106127360,465854464,8987279,27220760,28424968
train-1,n1,bacass,26600,NFCORE_BACASS:BACASS:UNICYCLER,5343351,75000,471.1,364199936,394484458,7789898774,8,4517888,7862136832,8761356288,16106127360,380227584,4515536,13646786,14265368
train-1,n1,bacass,13400,NFCORE_BACASS:BACASS:UNICYCLER,2692721,48000,475.6,224514048,246139350,4992074645,8,2281472,5052919808,6618345472,16106127360,277708800,2276100,6873180,7185768
train-1,n1,bacass,6800,NFCORE_BACASS:BACASS:UNICYCLER,1370834,21000,442.1,147652608,141683989,1207300482,8,1167360,1241108480,4482203648,16106127360,192425984,1159700,3486538,3645968
test,n1,bacass,6781558,NFCORE_BACASS:BACASS:UNICYCLER,1234607809,10906000,654.5,7204708352,56156128837,80702231925,8,4165332992,81280233472,8996421632,16106127360,7591505920,1152424826,3486947156,3637252230
train-1,n1,bacass,3390800,NFCORE_BACASS:BACASS:KRAKEN2,680404480,152000,333.0,8404295680,11498873388,2439727491,8,8006754304,2346610688,8894033920,16106127360,8424824832,576370502,1743628386,1818637168
train-1,n1,bacass,424000,NFCORE_BACASS:BACASS:KRAKEN2,85109040,75000,97.1,8145104896,8439998238,305044813,8,8003436544,293425152,8649424896,16106127360,8364412928,72063790,217947152,227409168
train-1,n1,bacass,1695400,NFCORE_BACASS:BACASS:KRAKEN2,340242074,103000,247.8,8377470976,9751218709,1220128633,8,6770081792,1173581824,8881221632,16106127360,8393740288,288265391,871947750,909318168
train-1,n1,bacass,106000,NFCORE_BACASS:BACASS:KRAKEN2,21260709,58000,42.4,7222349824,8112282206,76302316,8,6040281088,73412608,8049725440,16106127360,7222349824,18002763,54489378,56851168
train-1,n1,bacass,212000,NFCORE_BACASS:BACASS:KRAKEN2,42560238,48000,80.4,7609401344,8221476911,152531025,8,4291764224,146735104,8049725440,16106127360,7609401344,36030844,108954424,113703568
